address,latitude,longitude,city,state,postal_code,price,price_sqft,#bedrooms,#bathrooms,sqft,url
4868 Sierra Way,33.604788,-84.548989,COLLEGE PARK,GA,30349,60000,48,4,2,1250,https://www.zillow.com/homedetails/4868-Sierra-Way-College-Park-GA-30349/69364817_zpid/
487 Ansley Ct NE # 304,33.800906,-84.371069,Atlanta,GA,30324,625000,282,3,4,2212,https://www.zillow.com/homedetails/487-Ansley-Ct-NE-304-Atlanta-GA-30324/2092098845_zpid/
487 Lakeshore Dr NE,33.767549,-84.324552,ATLANTA,GA,30307,425000,166,1,1,2556,https://www.zillow.com/homedetails/487-Lakeshore-Dr-NE-Atlanta-GA-30307/14478283_zpid/
488 Dasheill Ln,33.6151,-84.5053,Atlanta,GA,30349,175332,102,4,3,1976,https://www.zillow.com/homedetails/488-Dasheill-Ln-Atlanta-GA-30349/2090990189_zpid/
4881 Payson Ter SE,33.833405,-84.481005,Atlanta,GA,30339,298000,132,3,4,2242,https://www.zillow.com/homedetails/4881-Payson-Ter-SE-Atlanta-GA-30339/2091272982_zpid/
4881 Payson Ter SE # 25,33.832841,-84.482778,ATLANTA,GA,30339,298000,132,3,4,2242,https://www.zillow.com/homedetails/4881-Payson-Ter-SE-25-Atlanta-GA-30339/61951485_zpid/
4884 Antelope Cv,33.630484,-84.544722,ATLANTA,GA,30349,147900,73,3,3,2010,https://www.zillow.com/homedetails/4884-Antelope-Cv-Atlanta-GA-30349/71757423_zpid/
4884 Payson Ter SE # 26,33.835209,-84.481787,ATLANTA,GA,30339,280000,116,4,4,2400,https://www.zillow.com/homedetails/4884-Payson-Ter-SE-26-Atlanta-GA-30339/61951494_zpid/
4885 Montcalm Dr SW,33.709158,-84.547314,ATLANTA,GA,30331,172000,69,5,3,2461,https://www.zillow.com/homedetails/4885-Montcalm-Dr-SW-Atlanta-GA-30331/35888699_zpid/
4885 Payson Ter SE # 25,33.832841,-84.482778,ATLANTA,GA,30339,293000,160,2,3,1824,https://www.zillow.com/homedetails/4885-Payson-Ter-SE-25-Atlanta-GA-30339/61951487_zpid/
4889 Antelope Cv,33.630914,-84.544724,COLLEGE PARK,GA,30349,157900,83,3,3,1880,https://www.zillow.com/homedetails/4889-Antelope-Cv-College-Park-GA-30349/71759139_zpid/
489 Culberson St SW,33.741595,-84.422576,ATLANTA,GA,30310,139000,77,3,1,1794,https://www.zillow.com/homedetails/489-Culberson-St-SW-Atlanta-GA-30310/35835320_zpid/
4891 Larkspur Ln,33.627339,-84.544425,COLLEGE PARK,GA,30349,137500,94,3,3,1453,https://www.zillow.com/homedetails/4891-Larkspur-Ln-College-Park-GA-30349/69383363_zpid/
4893 Antelope Cv,33.630851,-84.544973,COLLEGE PARK,GA,30349,133000,85,3,2,1560,https://www.zillow.com/homedetails/4893-Antelope-Cv-College-Park-GA-30349/71758234_zpid/
4899 Springfield Dr,33.940997,-84.322862,Dunwoody,GA,30338,830000,207,4,4,4005,https://www.zillow.com/homedetails/4899-Springfield-Dr-Dunwoody-GA-30338/14583106_zpid/
49 Bowen Ave SE,33.709683,-84.383754,ATLANTA,GA,30315,34000,31,3,2,1095,https://www.zillow.com/homedetails/49-Bowen-Ave-SE-Atlanta-GA-30315/35883263_zpid/
