latitude,longitude,city,state,postal_code
33.860974,-84.372062,Atlanta,GA,30342
33.79541,-84.354355,Atlanta,GA,30306
33.802741,-84.344756,Atlanta,GA,30306
33.760295,-84.360136,Atlanta,GA,30307
33.762201,-84.367577,Atlanta,GA,30312
33.775233,-84.379131,Atlanta,GA,30308
33.858382,-84.368355,Atlanta,GA,30342
33.801844,-84.339732,Atlanta,GA,30306
33.791824,-84.355116,Atlanta,GA,30306
33.797799,-84.352761,Atlanta,GA,30306
33.856798,-84.372478,Atlanta,GA,30342
33.827889,-84.297958,Atlanta,GA,30345
33.781869,-84.323159,Atlanta,GA,30307
33.755828,-84.363525,Atlanta,GA,30307
33.799201,-84.376814,Atlanta,GA,30309
33.75957,-84.368828,Atlanta,GA,30312
33.8856,-84.3712,Atlanta,GA,30342
33.784143,-84.365456,Atlanta,GA,30306
33.792903,-84.33293,Atlanta,GA,30306
33.783333,-84.367456,Atlanta,GA,30306
33.817319,-84.408357,Atlanta,GA,30305
33.779152,-84.382335,Atlanta,GA,30309
33.77595,-84.377078,Atlanta,GA,30308
33.784146,-84.357561,Atlanta,GA,30306
33.942834,-84.341354,Atlanta,GA,30338
33.784767,-84.364708,Atlanta,GA,30306
33.808679,-84.40842,Atlanta,GA,30318
33.890939,-84.385111,Atlanta,GA,30342
33.80113,-84.369476,Atlanta,GA,30324
33.798367,-84.361254,Atlanta,GA,30324
33.757954,-84.363017,Atlanta,GA,30307
33.75539,-84.361852,Atlanta,GA,30307
33.858748,-84.384557,Atlanta,GA,30342
33.776065,-84.381011,Atlanta,GA,30308
33.792324,-84.348364,Atlanta,GA,30306
33.902385,-84.381072,Atlanta,GA,30342
33.761501,-84.325393,Atlanta,GA,30307
33.899826,-84.440275,Atlanta,GA,30339
33.81606,-84.410833,Atlanta,GA,30318
33.828221,-84.404266,Atlanta,GA,30305
33.760234,-84.362742,Atlanta,GA,30307
33.768462,-84.323623,Atlanta,GA,30307
33.884178,-84.353319,Atlanta,GA,30319
33.797811,-84.357918,Atlanta,GA,30306
33.81669,-84.340703,Atlanta,GA,30324
