title,address,latitude,longitude,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
House For Sale,1356 Blairwood Ct,33.71775,-84.551704,Atlanta,GA,30331,"$399,999 ",5,4,"4,262",Berkshire Hathaway HomeServices Georgia Properties - Buckhead Office,https://www.zillow.com/homedetails/1356-Blairwood-Ct-Atlanta-GA-30331/123311201_zpid/
Condo For Sale,8 Pine Canyon Dr SW,33.676734,-84.487084,Atlanta,GA,30331,"$69,900 ",3,4,"1,562",Coldwell Banker Residential Brokerage - Buckhead West Paces Ferry,https://www.zillow.com/homedetails/8-Pine-Canyon-Dr-SW-Atlanta-GA-30331/35869175_zpid/
Condo For Sale,8 Pine Canyon Dr SW # 8,33.676734,-84.487084,Atlanta,GA,30331,"$69,900 ",3,4,"1,562",COLDWELL BANKER RESIDENTIAL BROKERAGE,https://www.zillow.com/homedetails/8-Pine-Canyon-Dr-SW-8-Atlanta-GA-30331/2092136931_zpid/
House For Sale,995 Forest Overlook Dr SW,33.722761,-84.546314,Atlanta,GA,30331,"$415,000 ",6,5,"5,257",BHGRE METRO BROKERS,https://www.zillow.com/homedetails/995-Forest-Overlook-Dr-SW-Atlanta-GA-30331/65450592_zpid/
House For Sale,1366 Blairwood Ct,33.717493,-84.551767,Atlanta,GA,30331,"$475,000 ",6,5,"6,269",Solid Source Realty GA,https://www.zillow.com/homedetails/1366-Blairwood-Ct-Atlanta-GA-30331/123477587_zpid/
For Sale by Owner,1539 Bolton Rd NW # B1,33.79717,-84.48905,Atlanta,GA,30331,"$79,900 ",3,2,"1,200",,https://www.zillow.com/homedetails/1539-Bolton-Rd-NW-B1-Atlanta-GA-30331/35924989_zpid/
House For Sale,3533 Highwood Dr SW,33.695696,-84.504687,Atlanta,GA,30331,"$179,900 ",3,3,"2,164",,https://www.zillow.com/homedetails/3533-Highwood-Dr-SW-Atlanta-GA-30331/35874085_zpid/
House For Sale,6217 Selborn Dr SW,33.690092,-84.590922,Atlanta,GA,30331,"$170,000 ",4,3,"2,053",Berkshire Hathaway HomeServices Georgia Properties - Buckhead Office,https://www.zillow.com/homedetails/6217-Selborn-Dr-SW-Atlanta-GA-30331/69370068_zpid/
House For Sale,1450 Boat Rock Rd SW,33.715734,-84.558691,Atlanta,GA,30331,"$99,000 ",3,1,"1,185",Nex Gen Realty & Associates,https://www.zillow.com/homedetails/1450-Boat-Rock-Rd-SW-Atlanta-GA-30331/65451437_zpid/
House For Sale,3751 Stephanie Dr SW,33.674405,-84.511138,Atlanta,GA,30331,"$140,000 ",3,2,"1,092",,https://www.zillow.com/homedetails/3751-Stephanie-Dr-SW-Atlanta-GA-30331/35876684_zpid/
House For Sale,4094 Doster Dr SW,33.753067,-84.521563,Atlanta,GA,30331,"$66,900 ",3,1,"1,066",RE/MAX Advantage,https://www.zillow.com/homedetails/4094-Doster-Dr-SW-Atlanta-GA-30331/35873721_zpid/
House For Sale,1393 Boat Rock Rd SW,33.717377,-84.560558,Atlanta,GA,30331,"$199,900 ",5,5,"4,616",,https://www.zillow.com/homedetails/1393-Boat-Rock-Rd-SW-Atlanta-GA-30331/35892160_zpid/
New Construction,2522 Ozella Pl SW,33.688824,-84.565216,Atlanta,GA,30331,"$298,000 ",5,3,"3,070",,https://www.zillow.com/homedetails/2522-Ozella-Pl-SW-Atlanta-GA-30331/2093214225_zpid/
New Construction,2512 Ozella Pl SW,33.689058,-84.565158,Atlanta,GA,30331,"$294,000 ",5,4,"3,384",,https://www.zillow.com/homedetails/2512-Ozella-Pl-SW-Atlanta-GA-30331/2093214227_zpid/
House For Sale,5400 Stone Cove Dr SW,33.715541,-84.565711,Atlanta,GA,30331,"$350,000 ",4,4,"4,459",Atlanta Communities,https://www.zillow.com/homedetails/5400-Stone-Cove-Dr-SW-Atlanta-GA-30331/2093215461_zpid/
House For Sale,1100 Fern Valley Ct SW # 19,33.696332,-84.570622,Atlanta,GA,30331,"$159,900 ",4,3,"1,636","ALPINE PROPERTIES, LLC",https://www.zillow.com/homedetails/1100-Fern-Valley-Ct-SW-19-Atlanta-GA-30331/2093379832_zpid/
House For Sale,385 Dartmouth Dr SW,33.76053,-84.516668,Atlanta,GA,30331,"$101,800 ",3,2,950,Atlanta Communities,https://www.zillow.com/homedetails/385-Dartmouth-Dr-SW-Atlanta-GA-30331/65449257_zpid/
